,A. Training Objectives,B.   Training Expectations,C.  Training Materials/Handouts,1. Selection of Topics,2.  Usefulness of Training ,3. Sequencing of Topics,4.  Organization of Training Activities,5.  Scheduling of Activities  ,6.  Length of Training,Program Methodologies [Lecture/Discussion],Program Methodologies [Presentation],Program Methodologies [Exercises/Workshops],Program Methodologies [Small Group Discussion],Appropriateness of Instructional Materials,F. Course Logistics [Training Site/Venue],F. Course Logistics [Training Facilities],F. Course Logistics [Accommodation],F. Course Logistics [Food],F. Course Logistics [Training Equipment Used],F. Course Logistics [Pre-Training Arrangements/Coordination],G. Learning of Participants [Degree of learning acquired],G. Learning of Participants [Expectations were adequately met],G. Learning of Participants [Actively involved in the learning process],H.  Which part of the training did you find most rewarding? ,I. Which part of the training did you find particularly challenging? ,J. How can the delivery of the training be enhanced? 
0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Training itself,Gathering data,
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Breakout sessions,Data gathering,LGU-specific and concentrated sessions
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Data gathering,Lack of data, 
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,When we are able to find out where we can gather the data by the help of other municipality.,Computation of datas,
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Breakout sessions ,Data collection and analysis ,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Inputs from facilitators,data gathering,Na
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,All,All,
7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The learnings,,Design is good for me
8,5,5,5,5,5,4,5,4,4,3,3,3,3,5,3,3,3,3,3,2,5,5,5,break out sessions,computation,none
9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Smart economy,Data gathering,Organized documents
10,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,discussions about data gathering ,data gathering,  
11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Sharing part,Data Gathering Procedure and Formula,
12,3,4,4,4,4,4,4,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,The provision of formula data sheet,The gathering of data,Make the initial letter more understandable like the formula data sheet
13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Everything,Data gathering,More practise sets
14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Group discussion/sharing of information ,Gathering of data,More precise data and info about the topic discussed
15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,When we finally understand how can we gather the necessary data needed for the Smart Assessment. ,In the computation of data on the formula sheets because we do not have the other data needed as of now,
16,4,4,5,5,4,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,5,5,5,The part that there are lots of initiatives that an LGU can contribute to being a SMART city,Data collection and data input,More time for data gathering since we were given limited time for data gathering and LGU personnel have lots of things to accomplish as well.
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Strategy of collecting datas,Computing data by formula,N/a
18,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,3,3,3,3,3,5,5,5,Breakout session ,Data Gathering ,Its good. Nothing to enhance
19,5,5,5,5,5,5,5,5,5,2,2,2,2,5,2,2,2,2,2,2,3,3,3,All,All,Nothing
20,5,5,5,5,5,5,5,5,5,3,3,3,3,5,3,3,3,3,3,3,5,5,5,LGU's will gain datas from diff offices,Data gathering from different offices,By having a detailed and understandable indicator
21,4,4,5,4,5,4,5,3,3,3,3,3,3,1,3,3,3,3,2,2,4,4,4,Data gathering,Data gathering,N
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Sharing of practices and data sources with other participants ,Collection of data to use ,Maybe prepare demonstration of inputting data into the actual excel form
23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Data gathering,Formulas, 
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The importance of proper and validated data,The gathering of accurate data,
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,Data Management,Data Collection/Gathering,It’s already very good
26,5,5,5,5,5,5,5,5,5,2,2,2,2,5,5,5,5,5,5,5,5,5,5,Breakout Sessions,Breakout Sessions,
